date,day_of_week,xgb_pred,xgb_prob,m15_trend,h4_trend,is_aligned,alignment_score,confidence_adjustment,final_pred,final_prob,result,change_pct,was_correct,current_close,next_close,reasoning
2026-01-01,Thursday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.25%,❌,1.28763,1.28445,XGBoost UP mas tendência neutra
2026-01-02,Friday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,0.06%,❌,1.28445,1.28527,XGBoost DOWN mas tendência neutra
2026-01-03,Saturday,DOWN,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,55.0%,UP,0.38%,❌,1.28527,1.29021,XGBoost DOWN mas tendência neutra
2026-01-04,Sunday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.58%,❌,1.29021,1.28272,XGBoost UP mas tendência neutra
2026-01-05,Monday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.27%,✅,1.28272,1.27921,XGBoost DOWN mas tendência neutra
2026-01-06,Tuesday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.16%,✅,1.27921,1.27711,XGBoost DOWN mas tendência neutra
2026-01-07,Wednesday,DOWN,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,55.0%,DOWN,-0.05%,✅,1.27711,1.27652,XGBoost DOWN mas tendência neutra
2026-01-08,Thursday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.62%,✅,1.27652,1.28441,XGBoost UP mas tendência neutra
2026-01-09,Friday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.52%,❌,1.28441,1.27779,XGBoost UP mas tendência neutra
2026-01-10,Saturday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,DOWN,-0.79%,✅,1.27779,1.26768,XGBoost DOWN mas tendência neutra
2026-01-11,Sunday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,DOWN,-0.74%,✅,1.26768,1.25835,XGBoost DOWN mas tendência neutra
2026-01-12,Monday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.41%,❌,1.25835,1.25314,XGBoost UP mas tendência neutra
2026-01-13,Tuesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,1.19%,✅,1.25314,1.26810,XGBoost UP mas tendência neutra
2026-01-14,Wednesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.05%,❌,1.26810,1.26745,XGBoost UP mas tendência neutra
2026-01-15,Thursday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,0.81%,❌,1.26745,1.27772,XGBoost DOWN mas tendência neutra
2026-01-16,Friday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.03%,✅,1.27772,1.27808,XGBoost UP mas tendência neutra
2026-01-17,Saturday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.34%,✅,1.27808,1.28242,XGBoost UP mas tendência neutra
2026-01-18,Sunday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.00%,❌,1.28242,1.28236,XGBoost UP mas tendência neutra
2026-01-19,Monday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.65%,✅,1.28236,1.29075,XGBoost UP mas tendência neutra
2026-01-20,Tuesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.21%,✅,1.29075,1.29342,XGBoost UP mas tendência neutra
2026-01-21,Wednesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.29%,❌,1.29342,1.28973,XGBoost UP mas tendência neutra
2026-01-22,Thursday,UP,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,55.0%,DOWN,-0.96%,❌,1.28973,1.27732,XGBoost UP mas tendência neutra
2026-01-23,Friday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,DOWN,-0.37%,✅,1.27732,1.27263,XGBoost DOWN mas tendência neutra
2026-01-24,Saturday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.85%,❌,1.27263,1.28348,XGBoost DOWN mas tendência neutra
2026-01-25,Sunday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.34%,❌,1.28348,1.28788,XGBoost DOWN mas tendência neutra
2026-01-26,Monday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.07%,✅,1.28788,1.28700,XGBoost DOWN mas tendência neutra
2026-01-27,Tuesday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,0.90%,❌,1.28700,1.29863,XGBoost DOWN mas tendência neutra
2026-01-28,Wednesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.38%,✅,1.29863,1.30352,XGBoost UP mas tendência neutra
2026-01-29,Thursday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.68%,✅,1.30352,1.31232,XGBoost UP mas tendência neutra
2026-01-30,Friday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.27%,✅,1.31232,1.31580,XGBoost UP mas tendência neutra
2026-01-31,Saturday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.87%,❌,1.31580,1.30437,XGBoost UP mas tendência neutra
2026-02-01,Sunday,UP,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,55.0%,UP,0.97%,✅,1.30437,1.31700,XGBoost UP mas tendência neutra
