date,day_of_week,m15_trend,h4_trend,is_aligned,alignment_score,final_pred,final_prob,result,change_pct,was_correct
2026-03-16,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.35%,❌
2026-03-17,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.65%,❌
2026-03-18,Wednesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,0.99%,❌
2026-03-19,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.04%,❌
2026-03-23,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,55.0%,UP,0.05%,❌
2026-03-24,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.45%,❌
2026-03-25,Wednesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.24%,✅
2026-03-26,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,55.0%,DOWN,-0.19%,❌
2026-03-30,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,1.02%,❌
2026-03-31,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.14%,✅
2026-04-01,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,55.0%,DOWN,-0.42%,❌
2026-04-02,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.26%,❌
2026-04-06,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,1.26%,❌
2026-04-07,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.23%,❌
2026-04-08,Wednesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.28%,❌
2026-04-09,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.28%,❌
2026-04-13,Monday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.27%,✅
2026-04-14,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.07%,✅
2026-04-15,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.22%,❌
2026-04-16,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.13%,❌
2026-04-20,Monday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.34%,❌
2026-04-21,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,55.0%,DOWN,-0.33%,❌
2026-04-22,Wednesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,DOWN,-0.19%,✅
2026-04-23,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.31%,❌
2026-04-27,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.05%,✅
2026-04-28,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.28%,❌
2026-04-29,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.38%,✅
2026-04-30,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,55.0%,DOWN,-0.11%,✅
2026-05-04,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.20%,❌
2026-05-05,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.28%,✅
2026-05-06,Wednesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.15%,✅
2026-05-07,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.45%,❌
2026-05-11,Monday,NEUTRAL,NEUTRAL,❌,50%,UP,55.0%,DOWN,-0.37%,❌
2026-05-12,Tuesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.16%,✅
2026-05-13,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.46%,❌
2026-05-14,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,DOWN,-0.33%,✅
2026-05-18,Monday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.41%,❌
2026-05-19,Tuesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.15%,❌
2026-05-20,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.06%,❌
2026-05-21,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,55.0%,DOWN,-0.12%,✅
