datetime,signal,confluence,entry_price,exit_price,movement_pct,result,target,win_probability,score_category
2026-01-01 00:45:00,SELL (BEARISH),2,1.28053,1.27796894,0.2,WIN ✅ (+0.20%),1,0.9703789,HIGH (>70%)
2026-01-01 01:45:00,BUY (BULLISH),2,1.27784,1.27754,-0.0235,LOSS ❌ (-0.02%),0,0.08578888,LOW (<50%)
2026-01-01 02:30:00,BUY (BULLISH),2,1.27726,1.27981452,0.2,WIN ✅ (+0.20%),1,0.9204388,HIGH (>70%)
2026-01-01 04:45:00,BUY (BULLISH),2,1.27629,1.2788425799999998,0.2,WIN ✅ (+0.20%),1,0.9645908,HIGH (>70%)
2026-01-01 11:00:00,BUY (BULLISH),2,1.27558,1.27813116,0.2,WIN ✅ (+0.20%),1,0.9428644,HIGH (>70%)
2026-01-01 12:15:00,SELL (BEARISH),2,1.27842,1.27754,0.0688,LOSS ❌ (-0.07%),0,0.042759,LOW (<50%)
2026-01-01 12:30:00,SELL (BEARISH),3,1.27919,1.27754,0.129,LOSS ❌ (-0.13%),0,0.040132593,LOW (<50%)
2026-01-01 12:45:00,SELL (BEARISH),2,1.2781,1.27754,0.0438,LOSS ❌ (-0.04%),0,0.056722686,LOW (<50%)
2026-01-01 15:30:00,SELL (BEARISH),2,1.28005,1.28539,-0.4172,LOSS ❌ (0.42%),0,0.03868573,LOW (<50%)
2026-01-01 16:15:00,SELL (BEARISH),2,1.28037,1.28539,-0.3921,LOSS ❌ (0.39%),0,0.034785837,LOW (<50%)
2026-01-01 17:00:00,SELL (BEARISH),2,1.28088,1.28539,-0.3521,LOSS ❌ (0.35%),0,0.06245884,LOW (<50%)
2026-01-01 17:45:00,SELL (BEARISH),2,1.28283,1.28026434,0.2,WIN ✅ (+0.20%),1,0.94109887,HIGH (>70%)
2026-01-01 20:30:00,SELL (BEARISH),2,1.2834,1.28539,-0.1551,LOSS ❌ (0.16%),0,0.034903277,LOW (<50%)
2026-01-01 22:15:00,SELL (BEARISH),2,1.28685,1.2842763,0.2,WIN ✅ (+0.20%),1,0.9337274,HIGH (>70%)
2026-01-02 06:00:00,BUY (BULLISH),3,1.28535,1.2879207,0.2,WIN ✅ (+0.20%),1,0.9540763,HIGH (>70%)
2026-01-02 08:00:00,BUY (BULLISH),2,1.28558,1.28815116,0.2,WIN ✅ (+0.20%),1,0.9772989,HIGH (>70%)
2026-01-02 11:30:00,SELL (BEARISH),2,1.28707,1.28539,0.1305,LOSS ❌ (-0.13%),0,0.05205681,LOW (<50%)
2026-01-02 16:45:00,SELL (BEARISH),2,1.28777,1.28519446,0.2,WIN ✅ (+0.20%),1,0.9185679,HIGH (>70%)
2026-01-02 18:00:00,SELL (BEARISH),2,1.28815,1.2855736999999998,0.2,WIN ✅ (+0.20%),1,0.95762473,HIGH (>70%)
2026-01-02 18:30:00,SELL (BEARISH),3,1.2879,1.2853242,0.2,WIN ✅ (+0.20%),1,0.95226574,HIGH (>70%)
2026-01-02 21:15:00,BUY (BULLISH),2,1.28478,1.28045,-0.337,LOSS ❌ (-0.34%),0,0.039686207,LOW (<50%)
2026-01-03 04:00:00,BUY (BULLISH),2,1.28249,1.28045,-0.1591,LOSS ❌ (-0.16%),0,0.06609917,LOW (<50%)
2026-01-03 05:15:00,BUY (BULLISH),3,1.28117,1.28045,-0.0562,LOSS ❌ (-0.06%),0,0.09666188,LOW (<50%)
2026-01-03 06:30:00,BUY (BULLISH),2,1.27745,1.2800049,0.2,WIN ✅ (+0.20%),1,0.98168623,HIGH (>70%)
2026-01-03 07:00:00,BUY (BULLISH),2,1.27644,1.27899288,0.2,WIN ✅ (+0.20%),1,0.98801243,HIGH (>70%)
2026-01-03 07:15:00,BUY (BULLISH),2,1.27627,1.27882254,0.2,WIN ✅ (+0.20%),1,0.9948978,HIGH (>70%)
2026-01-03 08:45:00,BUY (BULLISH),2,1.27614,1.27869228,0.2,WIN ✅ (+0.20%),1,0.95232457,HIGH (>70%)
2026-01-03 12:30:00,SELL (BEARISH),2,1.28053,1.28045,0.0062,LOSS ❌ (-0.01%),0,0.06446689,LOW (<50%)
2026-01-03 16:00:00,SELL (BEARISH),2,1.28465,1.2820807,0.2,WIN ✅ (+0.20%),1,0.9272746,HIGH (>70%)
2026-01-03 16:30:00,SELL (BEARISH),2,1.28421,1.28164158,0.2,WIN ✅ (+0.20%),1,0.9239707,HIGH (>70%)
2026-01-04 01:00:00,BUY (BULLISH),2,1.28303,1.2855960599999998,0.2,WIN ✅ (+0.20%),1,0.9781925,HIGH (>70%)
2026-01-04 01:45:00,BUY (BULLISH),2,1.28313,1.28569626,0.2,WIN ✅ (+0.20%),1,0.96966445,HIGH (>70%)
2026-01-04 02:30:00,BUY (BULLISH),2,1.28164,1.2842032799999998,0.2,WIN ✅ (+0.20%),1,0.94957304,HIGH (>70%)
2026-01-04 02:45:00,BUY (BULLISH),2,1.28244,1.28500488,0.2,WIN ✅ (+0.20%),1,0.97940505,HIGH (>70%)
2026-01-04 05:00:00,BUY (BULLISH),2,1.28103,1.28359206,0.2,WIN ✅ (+0.20%),1,0.9806973,HIGH (>70%)
2026-01-04 05:45:00,BUY (BULLISH),2,1.28072,1.28328144,0.2,WIN ✅ (+0.20%),1,0.9309469,HIGH (>70%)
