datetime,open,high,low,close,volume
2026-01-01 00:00:00,1.28025,1.28049,1.27911,1.27919,187
2026-01-01 00:15:00,1.27907,1.27973,1.27871,1.27945,393
2026-01-01 00:30:00,1.28018,1.28133,1.27926,1.28054,463
2026-01-01 00:45:00,1.28046,1.28238,1.28016,1.28053,266
2026-01-01 01:00:00,1.27952,1.28112,1.2787,1.27912,180
2026-01-01 01:15:00,1.2793,1.28003,1.27765,1.27895,409
2026-01-01 01:30:00,1.27786,1.27908,1.27762,1.27838,289
2026-01-01 01:45:00,1.27746,1.27957,1.27688,1.27784,351
2026-01-01 02:00:00,1.27708,1.27847,1.2767,1.2774,235
2026-01-01 02:15:00,1.27726,1.2781,1.27663,1.2779,427
2026-01-01 02:30:00,1.27745,1.279,1.27661,1.27726,134
2026-01-01 02:45:00,1.27813,1.2789,1.27667,1.27792,354
2026-01-01 03:00:00,1.27761,1.27896,1.2774,1.27828,487
2026-01-01 03:15:00,1.27876,1.27892,1.27765,1.27794,259
2026-01-01 03:30:00,1.27875,1.27937,1.27749,1.27835,207
2026-01-01 03:45:00,1.27819,1.27922,1.27784,1.27799,476
2026-01-01 04:00:00,1.27732,1.27809,1.27638,1.27684,251
2026-01-01 04:15:00,1.27676,1.27714,1.27535,1.276,151
2026-01-01 04:30:00,1.27641,1.2772,1.27595,1.276,323
2026-01-01 04:45:00,1.27617,1.27631,1.27512,1.27629,346
2026-01-01 05:00:00,1.27687,1.27743,1.27524,1.27663,494
2026-01-01 05:15:00,1.27593,1.27704,1.27573,1.27664,358
2026-01-01 05:30:00,1.27749,1.27815,1.27615,1.2765,227
2026-01-01 05:45:00,1.27589,1.27683,1.27501,1.27539,397
2026-01-01 06:00:00,1.2758,1.27672,1.27419,1.27442,239
2026-01-01 06:15:00,1.27451,1.27526,1.27379,1.27482,307
2026-01-01 06:30:00,1.27513,1.27604,1.27449,1.27557,307
2026-01-01 06:45:00,1.27496,1.27585,1.27461,1.27554,294
2026-01-01 07:00:00,1.27595,1.27737,1.27487,1.2773,464
2026-01-01 07:15:00,1.27689,1.27758,1.27544,1.27682,466
2026-01-01 07:30:00,1.27612,1.27754,1.27538,1.27577,319
2026-01-01 07:45:00,1.2757,1.27703,1.27539,1.27696,448
2026-01-01 08:00:00,1.27719,1.27759,1.27606,1.27632,380
2026-01-01 08:15:00,1.27675,1.27757,1.27551,1.27625,226
2026-01-01 08:30:00,1.27677,1.2769,1.27553,1.27593,346
2026-01-01 08:45:00,1.27662,1.27778,1.27578,1.27579,135
2026-01-01 09:00:00,1.27608,1.27693,1.27556,1.27607,421
2026-01-01 09:15:00,1.27645,1.27787,1.27573,1.27783,249
2026-01-01 09:30:00,1.27762,1.2785,1.27666,1.27706,104
2026-01-01 09:45:00,1.27712,1.27803,1.27609,1.27745,407
2026-01-01 10:00:00,1.27679,1.27829,1.27611,1.27624,221
2026-01-01 10:15:00,1.2759,1.27673,1.27457,1.276,472
2026-01-01 10:30:00,1.27613,1.27782,1.27469,1.27506,384
2026-01-01 10:45:00,1.27518,1.27647,1.27437,1.27536,388
2026-01-01 11:00:00,1.27642,1.27679,1.27297,1.27558,115
2026-01-01 11:15:00,1.27563,1.27603,1.27529,1.27599,251
2026-01-01 11:30:00,1.27636,1.27772,1.27566,1.27735,267
2026-01-01 11:45:00,1.27792,1.27828,1.277,1.27703,214
2026-01-01 12:00:00,1.27672,1.27775,1.27563,1.27733,348
2026-01-01 12:15:00,1.27762,1.27928,1.27606,1.27842,135
2026-01-01 12:30:00,1.27906,1.2795,1.27826,1.27919,316
2026-01-01 12:45:00,1.27974,1.28021,1.27675,1.2781,496
2026-01-01 13:00:00,1.27798,1.27862,1.27666,1.27754,198
2026-01-01 13:15:00,1.27807,1.27915,1.27735,1.27903,285
2026-01-01 13:30:00,1.27906,1.27976,1.27841,1.2786,173
2026-01-01 13:45:00,1.27844,1.27866,1.27771,1.27792,492
2026-01-01 14:00:00,1.2782,1.27886,1.27742,1.27754,463
2026-01-01 14:15:00,1.27822,1.27975,1.27754,1.27858,157
2026-01-01 14:30:00,1.279,1.27958,1.27775,1.27848,468
2026-01-01 14:45:00,1.27886,1.27911,1.27784,1.27909,272
2026-01-01 15:00:00,1.2792,1.27921,1.27862,1.27899,113
2026-01-01 15:15:00,1.27924,1.28013,1.27883,1.28008,371
2026-01-01 15:30:00,1.28002,1.28117,1.27944,1.28005,277
2026-01-01 15:45:00,1.27937,1.28105,1.2788,1.27888,300
2026-01-01 16:00:00,1.27935,1.27978,1.27789,1.27966,341
2026-01-01 16:15:00,1.28057,1.2815,1.27932,1.28037,338
2026-01-01 16:30:00,1.28051,1.28134,1.28016,1.28071,198
2026-01-01 16:45:00,1.28085,1.28107,1.27962,1.28095,122
2026-01-01 17:00:00,1.28072,1.28175,1.28062,1.28088,468
2026-01-01 17:15:00,1.28113,1.28374,1.28021,1.28309,335
2026-01-01 17:30:00,1.28361,1.28386,1.28198,1.28238,291
2026-01-01 17:45:00,1.28282,1.28411,1.28215,1.28283,265
2026-01-01 18:00:00,1.28327,1.28335,1.28185,1.28254,429
2026-01-01 18:15:00,1.28286,1.28296,1.282,1.28256,470
2026-01-01 18:30:00,1.28147,1.28388,1.28034,1.28281,380
2026-01-01 18:45:00,1.28309,1.28352,1.28235,1.28257,376
2026-01-01 19:00:00,1.28231,1.2829,1.28153,1.28222,400
2026-01-01 19:15:00,1.28162,1.28243,1.28015,1.28131,206
2026-01-01 19:30:00,1.28174,1.28221,1.2809,1.28153,127
2026-01-01 19:45:00,1.28092,1.28318,1.28028,1.28288,337
2026-01-01 20:00:00,1.2827,1.28353,1.2823,1.28299,372
2026-01-01 20:15:00,1.28328,1.2838,1.28201,1.28343,208
2026-01-01 20:30:00,1.28471,1.28518,1.28232,1.2834,200
2026-01-01 20:45:00,1.28439,1.28544,1.2827,1.2854,328
2026-01-01 21:00:00,1.2851,1.2863,1.28506,1.28619,434
2026-01-01 21:15:00,1.28665,1.28708,1.28546,1.28697,434
2026-01-01 21:30:00,1.28609,1.28806,1.28572,1.28696,100
2026-01-01 21:45:00,1.28655,1.28769,1.2857,1.28666,358
2026-01-01 22:00:00,1.28658,1.28711,1.28583,1.28659,137
2026-01-01 22:15:00,1.28698,1.2883,1.28652,1.28685,134
2026-01-01 22:30:00,1.28694,1.28725,1.28642,1.28657,438
2026-01-01 22:45:00,1.28681,1.28813,1.28616,1.28693,395
2026-01-01 23:00:00,1.28782,1.28811,1.28518,1.28688,244
2026-01-01 23:15:00,1.28763,1.28781,1.2868,1.28743,297
2026-01-01 23:30:00,1.28752,1.28809,1.28705,1.2876,330
2026-01-01 23:45:00,1.28823,1.28885,1.28731,1.28763,421
2026-01-02 00:00:00,1.28787,1.28841,1.28743,1.28821,360
2026-01-02 00:15:00,1.28772,1.28965,1.28671,1.28881,382
2026-01-02 00:30:00,1.28828,1.28894,1.28766,1.28887,495
2026-01-02 00:45:00,1.28771,1.2892,1.28723,1.28743,423
2026-01-02 01:00:00,1.28803,1.28854,1.28718,1.28741,281
2026-01-02 01:15:00,1.28717,1.28812,1.28638,1.28744,408
2026-01-02 01:30:00,1.28797,1.28841,1.28623,1.28699,446
2026-01-02 01:45:00,1.2873,1.28843,1.28646,1.28681,279
2026-01-02 02:00:00,1.28721,1.28762,1.28583,1.28755,276
2026-01-02 02:15:00,1.28781,1.28864,1.2868,1.28735,323
2026-01-02 02:30:00,1.28736,1.2875,1.28692,1.28694,385
2026-01-02 02:45:00,1.28667,1.28782,1.28589,1.28691,212
2026-01-02 03:00:00,1.28753,1.28908,1.28585,1.28793,479
2026-01-02 03:15:00,1.28754,1.28956,1.28697,1.28828,427
2026-01-02 03:30:00,1.28833,1.28866,1.28754,1.28781,177
2026-01-02 03:45:00,1.2877,1.28863,1.28702,1.28754,106
2026-01-02 04:00:00,1.28822,1.2888,1.28715,1.28818,110
2026-01-02 04:15:00,1.28831,1.28924,1.28714,1.28845,355
2026-01-02 04:30:00,1.28741,1.28868,1.28734,1.2885,219
2026-01-02 04:45:00,1.2887,1.28875,1.2875,1.28814,108
2026-01-02 05:00:00,1.28922,1.28972,1.28717,1.28787,174
2026-01-02 05:15:00,1.28792,1.28885,1.28685,1.28698,264
2026-01-02 05:30:00,1.2875,1.28785,1.28573,1.28611,272
2026-01-02 05:45:00,1.28661,1.28696,1.28501,1.2857,409
2026-01-02 06:00:00,1.28553,1.28678,1.28456,1.28535,212
2026-01-02 06:15:00,1.28495,1.28648,1.28486,1.2864,168
2026-01-02 06:30:00,1.28552,1.28733,1.28542,1.28724,300
2026-01-02 06:45:00,1.28736,1.28762,1.28699,1.2873,203
2026-01-02 07:00:00,1.28652,1.28768,1.28612,1.28704,374
2026-01-02 07:15:00,1.2875,1.28824,1.28558,1.28581,179
2026-01-02 07:30:00,1.286,1.28646,1.28519,1.2855,188
2026-01-02 07:45:00,1.28573,1.28675,1.28522,1.28528,115
2026-01-02 08:00:00,1.28569,1.28579,1.28444,1.28558,202
2026-01-02 08:15:00,1.28554,1.28593,1.28522,1.28527,392
2026-01-02 08:30:00,1.28401,1.28636,1.28258,1.28508,496
2026-01-02 08:45:00,1.28577,1.28642,1.28464,1.28468,269
2026-01-02 09:00:00,1.28446,1.28663,1.28398,1.28422,458
2026-01-02 09:15:00,1.28346,1.28476,1.28345,1.28384,423
2026-01-02 09:30:00,1.28417,1.28539,1.28313,1.28529,392
2026-01-02 09:45:00,1.28515,1.28589,1.28478,1.28546,252
2026-01-02 10:00:00,1.28541,1.28631,1.285,1.28515,206
2026-01-02 10:15:00,1.2849,1.2856,1.28449,1.28488,360
2026-01-02 10:30:00,1.28425,1.28675,1.2836,1.28523,437
2026-01-02 10:45:00,1.28531,1.28594,1.28475,1.28502,188
2026-01-02 11:00:00,1.28579,1.28714,1.2848,1.28633,360
2026-01-02 11:15:00,1.2865,1.28718,1.28626,1.28675,136
2026-01-02 11:30:00,1.2871,1.28936,1.28584,1.28707,453
2026-01-02 11:45:00,1.28724,1.28807,1.28577,1.28776,191
2026-01-02 12:00:00,1.28817,1.28856,1.28673,1.28702,334
2026-01-02 12:15:00,1.28734,1.28743,1.28654,1.28735,181
2026-01-02 12:30:00,1.28756,1.28786,1.28674,1.28784,116
2026-01-02 12:45:00,1.2871,1.2885,1.2868,1.28683,332
2026-01-02 13:00:00,1.28679,1.28729,1.2865,1.28674,116
2026-01-02 13:15:00,1.28683,1.28747,1.28631,1.2864,309
2026-01-02 13:30:00,1.28658,1.28698,1.28506,1.28591,325
2026-01-02 13:45:00,1.28645,1.28738,1.28517,1.28566,229
2026-01-02 14:00:00,1.2853,1.28598,1.28511,1.28539,157
2026-01-02 14:15:00,1.28616,1.28634,1.2843,1.28606,307
2026-01-02 14:30:00,1.28546,1.28618,1.28457,1.28585,280
2026-01-02 14:45:00,1.28587,1.28686,1.2848,1.28595,418
2026-01-02 15:00:00,1.28529,1.28704,1.28381,1.28509,194
2026-01-02 15:15:00,1.2849,1.28604,1.2847,1.28571,140
2026-01-02 15:30:00,1.28571,1.28684,1.28505,1.28563,101
2026-01-02 15:45:00,1.28565,1.28641,1.28461,1.28637,189
2026-01-02 16:00:00,1.28687,1.28733,1.28617,1.28699,489
2026-01-02 16:15:00,1.28659,1.28803,1.28544,1.28786,427
2026-01-02 16:30:00,1.28831,1.28878,1.28687,1.28774,102
2026-01-02 16:45:00,1.28784,1.2891,1.28654,1.28777,342
2026-01-02 17:00:00,1.28725,1.28823,1.28554,1.28747,249
2026-01-02 17:15:00,1.28743,1.28897,1.28679,1.28767,192
2026-01-02 17:30:00,1.287,1.28793,1.28674,1.28774,392
2026-01-02 17:45:00,1.28799,1.28891,1.28696,1.28782,216
2026-01-02 18:00:00,1.2886,1.28976,1.28715,1.28815,117
2026-01-02 18:15:00,1.28747,1.28873,1.28717,1.28859,186
2026-01-02 18:30:00,1.2879,1.29055,1.28761,1.2879,480
2026-01-02 18:45:00,1.28753,1.29004,1.28659,1.28716,478
2026-01-02 19:00:00,1.28672,1.28844,1.28557,1.28624,109
2026-01-02 19:15:00,1.28597,1.28754,1.28532,1.28587,270
2026-01-02 19:30:00,1.28522,1.2871,1.28432,1.28628,411
2026-01-02 19:45:00,1.28637,1.28714,1.28613,1.2864,229
2026-01-02 20:00:00,1.28624,1.28658,1.28588,1.28595,260
2026-01-02 20:15:00,1.28568,1.28612,1.28557,1.28605,322
2026-01-02 20:30:00,1.28612,1.28738,1.28455,1.28509,363
2026-01-02 20:45:00,1.28534,1.28568,1.28507,1.28522,125
2026-01-02 21:00:00,1.28532,1.28611,1.28443,1.28509,168
2026-01-02 21:15:00,1.28452,1.2859,1.28425,1.28478,260
2026-01-02 21:30:00,1.28528,1.28547,1.28421,1.28472,231
2026-01-02 21:45:00,1.28489,1.28568,1.28424,1.28487,430
2026-01-02 22:00:00,1.28413,1.28587,1.28326,1.28473,415
2026-01-02 22:15:00,1.28552,1.28718,1.28341,1.28346,366
2026-01-02 22:30:00,1.28428,1.28504,1.28259,1.28386,216
2026-01-02 22:45:00,1.2837,1.28475,1.28264,1.28347,442
2026-01-02 23:00:00,1.28377,1.28441,1.28339,1.28345,376
2026-01-02 23:15:00,1.28342,1.28447,1.28262,1.28359,126
2026-01-02 23:30:00,1.28362,1.28421,1.28305,1.28418,189
2026-01-02 23:45:00,1.28496,1.28506,1.28377,1.28445,170
2026-01-03 00:00:00,1.28492,1.28542,1.2841,1.2848,146
2026-01-03 00:15:00,1.28537,1.28546,1.28477,1.28492,108
2026-01-03 00:30:00,1.28439,1.28548,1.2842,1.28453,167
2026-01-03 00:45:00,1.28529,1.28589,1.28391,1.2841,263
2026-01-03 01:00:00,1.28398,1.28482,1.28354,1.28422,249
2026-01-03 01:15:00,1.28477,1.2848,1.28257,1.28309,177
2026-01-03 01:30:00,1.28281,1.28341,1.28183,1.28253,224
2026-01-03 01:45:00,1.28299,1.28372,1.28213,1.28305,266
2026-01-03 02:00:00,1.28268,1.2839,1.28139,1.28225,295
2026-01-03 02:15:00,1.28163,1.28256,1.28124,1.28208,363
2026-01-03 02:30:00,1.28225,1.28358,1.28116,1.28356,357
2026-01-03 02:45:00,1.28296,1.28442,1.28234,1.28434,386
2026-01-03 03:00:00,1.284,1.28551,1.28259,1.28294,214
2026-01-03 03:15:00,1.28269,1.28352,1.28202,1.28296,330
2026-01-03 03:30:00,1.28311,1.28389,1.28245,1.28299,357
2026-01-03 03:45:00,1.28241,1.28353,1.28177,1.28256,295
2026-01-03 04:00:00,1.28274,1.28405,1.28067,1.28249,390
2026-01-03 04:15:00,1.28251,1.284,1.28198,1.28241,113
